,Fp2-F4_Lp_Norm,F4-C4_Lp_Norm,C4-P4_Lp_Norm,P4-O2_Lp_Norm,C4-A1_Lp_Norm,Fp2-F4_std,F4-C4_std,C4-P4_std,P4-O2_std,C4-A1_std,Fp2-F4_skew,F4-C4_skew,C4-P4_skew,P4-O2_skew,C4-A1_skew,Fp2-F4_kurtosis,F4-C4_kurtosis,C4-P4_kurtosis,P4-O2_kurtosis,C4-A1_kurtosis,Fp2-F4_entropy,F4-C4_entropy,C4-P4_entropy,P4-O2_entropy,C4-A1_entropy,Fp2-F4_hjorth_complexity,F4-C4_hjorth_complexity,C4-P4_hjorth_complexity,P4-O2_hjorth_complexity,C4-A1_hjorth_complexity,label
18045,161.53494293086243,115.8123761371632,149.52319707767523,125.73756215642469,326.3619323252717,6.383979883430812,5.080776356773961,5.993758199053019,5.441559625851926,13.334041143853849,0.12302398997172119,-0.4343962445400693,0.14994995562464747,0.6578037934892987,-0.036527706510764986,-0.8596093638137248,0.3177366037007845,-1.0198762593648474,-0.5764370135323982,-0.777036693707605,8.67828993794717,8.592827844466866,8.6203923903403,8.549434103964055,8.606530271546422,2.707033481826034,2.515820240920386,2.3451209572984415,3.8773412738622466,1.8379383894361474,NonCAP
927,81.29357220872018,113.05550738242019,117.73847348638813,85.51365974545935,199.55413666963497,3.1934781296983044,4.9963851780836475,4.1603071781785586,3.5575868378838345,8.180044530210228,0.15523294987037187,-0.06883112507495923,0.14798255923875372,-0.11373276377598367,-0.08286141976187032,-0.19034778731762758,-0.44667014218371914,-0.2445386536481018,-0.4959464778584377,0.276127855025762,8.598507297221492,8.58547635960842,8.615213314428798,8.590374140976344,8.525015144654123,1.8331859869781058,3.1802512861450234,2.2657761576279434,2.9740149162288434,2.085197444059061,NonCAP
6030,264.17538441524295,384.0188869253403,338.3995026547871,242.180209655688,524.4687733642118,9.2242085837041,16.965347803929642,14.451398475602955,7.2152599751103885,20.65899917252621,-0.319864416458415,0.6688911026771991,0.5865186960150618,0.5406297527740683,0.3988070285562778,-0.5031045423093046,-0.4501413901426461,-0.45908291819000535,0.03844532469371886,0.12762557905960836,8.669797970712084,8.622749163190951,8.663707113730357,8.741108218154247,8.65519079793545,1.644020646389566,2.974416796558814,2.296986489207578,1.7498465953755529,1.8235983913566223,NonCAP
24282,90.41340906665008,95.89982338060796,118.96653573826588,209.43082184953857,219.15137787557325,3.9004353913891787,4.229496517820409,4.5157157730334445,8.895166259796907,8.820824186969928,0.028609144143644013,-0.42048225596964833,0.422374273884097,-0.2665399835068375,-0.09399374936493199,-0.8476350976867231,-0.5248938777793577,-0.3918537732997036,-0.8460240671991359,-0.8302675051884223,8.709327374975869,8.62081006237279,8.492790334650806,8.72919615777913,8.632371784033253,2.378196638970949,2.5255614358252423,3.3479908172565107,6.14378348294837,2.8192177996442243,NonCAP
13580,240.19408888468035,261.56127593735795,271.7440639881302,271.708946570157,939.6708527592348,10.448364913272052,11.359157462074128,9.407564736639946,9.632176937377002,23.64399785346671,-0.557108247348154,-0.304825485967879,-0.5499917823509461,-0.05425005649695635,-0.9043834783297419,0.16281828462246128,0.2271058686355789,-0.7863873630816052,-1.0140623753369635,1.1075906790271395,8.518586321367502,8.515063237605116,8.756576952844268,8.60606763673688,8.733094711122455,1.5511657574556388,1.935329971087961,2.3324116467011535,2.9843631614183885,2.375978745882949,NonCAP
12900,180.09621592500991,172.50416672356513,102.57932761000816,93.01746657069722,360.9563317754851,7.8285814152233515,6.915263338249689,4.511796717559796,3.9793202885035326,14.752491971991015,0.3249945735506403,0.18424087358035143,0.2620938126180195,0.10012476610551227,0.4376259615756511,-0.8447485556530259,-0.6777099438160352,-0.15056245576299299,-0.8689616028071869,0.25838743230756833,8.723647823533714,8.685954448391387,8.590212778357092,8.66159105190052,8.6729915719521,4.210042310661463,3.0672322996769052,2.3747540447482103,2.767002311239199,2.7133082567933897,NonCAP
24825,153.77556668944897,198.62080755042615,165.23457578842726,121.31796181552632,335.0351092604611,6.763411859874349,7.4885270471096375,7.004181663118669,5.029128184684021,13.733338945653767,0.9249945710221547,0.20744823990779102,-0.23727024613911066,0.289503597632124,-0.28859474636867183,0.557955369926479,-0.3929515935237604,-0.4248439354163591,-0.33329279337983486,-1.0734866352787265,8.524036736927123,8.557325370145717,8.643622780145893,8.652584383563116,8.65763705880373,2.8619151246615155,2.7966613627461916,3.403826871402366,3.637706622486409,3.477536481247963,NonCAP
7108,152.44767458884454,235.9293254469864,148.1793519536333,114.08425414806844,318.12862289042414,5.927910575970359,10.41743167913399,6.545747253769631,5.041592548749208,14.020971279222513,0.06257209618922496,-0.5052116928110477,0.20089330731011917,-0.9132588564583138,0.35061335509622166,-0.18674178546327802,-0.8617984695842287,-0.5730405200114728,0.594776683990915,-0.4089975561665824,8.638368611147175,8.732752154192106,8.68603417825106,8.441604953691721,8.61544291751046,3.028329565654376,5.457886195025547,3.103390500915951,3.356851879265821,2.655283744359104,NonCAP
19233,167.91141468198916,217.62897526357935,250.8712962946123,144.5555290967967,443.6871180842003,6.7145978674330795,9.07564804287882,11.082707714847754,6.3675423510190505,19.46499654723817,-0.018018190559480125,-0.3674771974496563,-0.6106814952821528,-0.6637647822698466,0.1645305838796838,-0.6010671922947428,-0.07911153310600838,0.13507418126294368,0.33425091409083496,-0.7562147789120353,8.580321818006276,8.536738748313066,8.546439706397384,8.547020395941745,8.705974066088999,2.9940194928892954,3.3913496680104562,1.8731149782242273,3.210655989972276,4.289649917931751,NonCAP
4996,352.6699543512376,244.01975549198133,383.6330459578146,315.25035880713415,583.8125264448789,15.29412907818942,9.663958215359358,14.240889197121021,11.678429212452397,24.702819810049483,0.5006707300033865,-0.66119987966495,-1.0212817457788903,-0.621780189099377,-0.2126268624388891,0.1318429284493754,0.41695826390495583,1.1906927824746987,1.0387418019336412,-0.20778134956877636,8.690259923777283,8.371455608670189,8.447968960782065,8.472197530325575,8.675653613385595,2.520441110296866,1.7492101616848525,3.3033789824857003,4.872324952727924,2.453600373247717,NonCAP
