iter	MultiClass
0	1.34450599211	1.31097924222	1.28086872133	1.25492804444	1.231632395	1.210103606
6	1.194282384
7	1.178929665
8	1.166406881
9	1.155882814
10	1.144564123
11	1.134249531
12	1.124715461
13	1.116223278
14	1.108039855
15	1.101492427
16	1.095322562
1717	1.087557121818	1.0816277119	1.077903579
20	1.072920163
21	1.06836397
22	1.06513412
23	1.060194014
24	1.056022032
25	1.051120714
26	1.047374123
27	1.044290234
28	1.041404689
29	1.038750185
30	1.036550137
31	1.034040518
32	1.031522312
33	1.028900757
34	1.026680781
35	1.02364299
36	1.020736542
37	1.017533849
38	1.014691645
39	1.013356631
40	1.010756676
41	1.008264139
42	1.005227961
43	1.002200991
44	0.9998532778
45	0.9972345102
46	0.9951493992
47	0.9929730979
48	0.9904173896
49	0.9884251848
50	0.9867852529
51	0.9848609871
52	0.9821016052
53	0.9797569529
54	0.9778217444
55	0.9754240329
56	0.9736429099
57	0.9712270611
58	0.9690568667
59	0.967266423
60	0.9657387505
61	0.96319164
62	0.9601278277
63	0.9582340315
64	0.9559698558
65	0.9536529875
66	0.9517041668
67	0.9494266032
68	0.9466415479
69	0.9452992864
70	0.9430823463
71	0.9411163538
72	0.9392815379
73	0.9373049694
74	0.935479768
75	0.932638886
76	0.9311749211
77	0.9295738948
78	0.9278436836
79	0.9253737458
80	0.9226359566
81	0.9194911041
82	0.9178780236
83	0.9170324019
84	0.915229078
85	0.9126528245
86	0.9110156286
87	0.9092941625
88	0.9080268239
89	0.9064304567
90	0.9040510603
91	0.9024728337
92	0.9011835653
93	0.8989998321
94	0.897098778
95	0.894430739
96	0.8931634009
97	0.8918104257
98	0.8906147194
99	0.8889869338
100	0.8875456974
101	0.8863847964
102	0.8847552596
103	0.883430803
104	0.8815034358
105	0.8792889023
106	0.8772626092
107	0.8758018536
108	0.8738541333
109	0.8722273864
110	0.8709142128
111	0.8695129861
112	0.8681579082
113	0.8663428508
114	0.8645592338
115	0.8626661933
116	0.8605572914
117	0.8581599625
118	0.8564670697
119	0.8556469725
120	0.8527952035
121	0.8505191129
122	0.849106641
123	0.8470528711
124	0.8450125477
125	0.8436165393
126	0.84210719
127	0.8399737902
128	0.8388465304
129	0.837582671
130	0.8365827419
131	0.8356807761
132	0.8334717556
133	0.8320768128
134	0.8295984085
135	0.8284350416
136	0.8264132533
137	0.8239217276
138	0.8230387637
139	0.8213034674
140	0.8194054363
141	0.8179917095
142	0.8160092159
143	0.8140207869
144	0.8128461066
145	0.8110784677
146	0.8088450433
147	0.8072489351
148	0.8049986967
149	0.8038324849
150	0.8022963151	151	0.8011141152	152	0.7986737153	153	0.7971895154	154	0.795503155	0155	0.794069156	0156	0.79253157	0.157	0.78993158	0.158	0.78851159	0.159	0.78715160	0.160	0.78598161	0.161	0.78448162	0.162	0.78284163	0.163	0.78155164	0.164	0.7795165	0.7165	0.7782166	0.7166	0.7768167	0.7167	0.7752168	0.7168	0.7737169	0.7169	0.7718170	0.7170	0.7706048322
171	0.7688326994
172	0.7663459603
173	0.764174	0.77174	0.763175	0.77175	0.761176	0.7176	0.75177	0.766177	0.75178	0.764178	0.7179	0.7634179	0.7180	0.7623180	0.7181	0.7608181	0.7182	0.7598182	0.7183	0.7585183	0.7184	0.7572184	0.7185	0.7553185	0.7186	0.7543186	0.7187	0.7526187	0.7188	0.7505188	0.7189	0.7493189	0.7190	0.7481190	0.7191	0.7471191	0.7192	0.7451192	0.193	0.7432193	0.7194	0.741194	0.73195	0.7401725394
196	0.738196	0.73197	0.736197	0.73198	0.735198	0.73199	0.73199	0.727200	0.73200	0.726201	0.73201	0.72202	0.730202	0.72203	0.728203	0.72204	0.726204	0.72205	0.724205	0.7206	0.7224206	0.7207	0.7208602464
208	0.7189208	0.7146498118
209	0.7134524334
210	0.711901506
211	0.7106446684
212	0.7082639378
213	0.7070417236
214	0.7051635654
215	0.7032237061
216	0.7021202823
217	0.7005996683
218	0.6983558985
219	0.6969383736
220	0.695124146
221	0.6936509145
222	0.6920842209
223	0.6907349135
224	0.6893163769
225	0.6880068025
226	0.6868237839
227	0.685652377
228	0.6843670805
229	0.6828872058
230	0.6821514882
231	0.6802717823
232	0.6791194958
233	0.6779737236
234	0.6769222406
235	0.6753081295
236	0.6741002393
237	0.673063842
238	0.6719430542
239	0.6708590966
240	0.6697375067
241	0.6689924271
242	0.6679704055
243	0.6673698387
244	0.6665825886
245	0.665490924
246	0.663913248
247	0.6630422122
248	0.6617532262
249	0.6608838384
250	0.6590964416
251	0.6573012336
252	0.6564117139
253	0.6550575757
254	0.6538299141
255	0.6528083497
256	0.6515437778
257	0.649590969
258	0.6475856803
259	0.6465190448
260	0.6452531756
261	0.6439355368
262	0.6422535983
263	0.640705293
264	0.6388555254
265	0.6376796467
266	0.6361637857
267	0.6353787257
268	0.6343316889
269	0.6331561575
270	0.6317992424
271	0.6309585405
272	0.6300844834
273	0.628922884
274	0.6272299332
275	0.6263777077
276	0.6249957482
277	0.623477629
278	0.6224814756
279	0.6212762422
280	0.6195963016
281	0.6183735059
282	0.6173851375
283	0.6163360844
284	0.6145151191
285	0.6136056192
286	0.6120555254
287	0.6109782049
288	0.6094723917
289	0.6082150694
290	0.6074095197
291	0.6062365559
292	0.604897015
293	0.6031002156
294	0.6023044149
295	0.60070008
296	0.59971575
297	0.5990487676
298	0.5976315161
299	0.595411935
300	0.5947739795
301	0.5939372658
302	0.5930939719
303	0.5917621213
304	0.5911012435
305	0.5895958954
306	0.5883058185
307	0.5872681894
308	0.5858488982
309	0.5846441153
310	0.5835109002
311	0.5817267154
312	0.5799371055
313	0.5786186852
314	0.5776045088
315	0.5759635513
316	0.5743520072
317	0.573598318	318	0.5730922319	319	0.5719160320	320	0.5710503321	0.5708107769
322	0.5698809345
323	0.5687508818
324	0.5679509246
325	0.5673372385
326	0.5661262612
327	0.5649415967
328	0.5636597878
329	0.5626452959
330	0.5623086602
331	0.5615380787
332	0.5607822288
333	0.559254552
334	0.5576798644
335	0.556840835
336	0.5555444855
337	0.5547999228
338	0.5530222901
339	0.5512866181
340	0.5506112294
341	0.5496654009
342	0.5484618521
343	0.5477030175
344	0.5464400836
345	0.5448164651
346	0.5433016176
347	0.5424073164
348	0.5416301409
349	0.5408288476
350	0.5399933987
351	0.5392511207
352	0.5381750045
353	0.5374425083
354	0.5367944409
355	0.5357827623
356	0.5341846033
357	0.5330570245
358	0.5318130947
359	0.5308880773
360	0.5297202033
361	0.5284863328
362	0.5273189035
363	0.5267562216
364	0.5261540339
365	0.5255485722
366	0.5242738959
367	0.5226303496
368	0.5215837204
369	0.5204944849
370	0.5200306411
371	0.5195227923
372	0.5184289513
373	0.517626107
374	0.516749477
375	0.5158243716
376	0.5145895445
377	0.5133665244
378	0.5124225315
379	0.5120012138
380	0.5113116587
381	0.5102128617
382	0.5094450019
383	0.5086748638
384	0.5082498515
385	0.5076035382
386	0.5063943263
387	0.5057620565
388	0.5043009035
389	0.5036149321
390	0.502635377
391	0.5016446349
392	0.5008617258
393	0.4995012439
394	0.498626449
395	0.497779431
396	0.496849017
397	0.496112939
398	0.4953844437
399	0.4946372784
400	0.4937454088
401	0.4924004734
402	0.4914197112
403	0.490597725
404	0.4901684101
405	0.4893042042
406	0.4881285711
407	0.4872303361
408	0.4863103144
409	0.4849262736
410	0.4835594929
411	0.4825498173
412	0.4819309503
413	0.4810387398
414	0.4799068286
415	0.4786916514
416	0.477964359
417	0.4769681639
418	0.4762938748
419	0.4753426818
420	0.4745202432
421	0.4738825569
422	0.4728413238
423	0.4721856484
424	0.4716711704
425	0.470505926
426	0.4698550652
427	0.4689420257
428	0.4678795626
429	0.4672079185
430	0.466510728
431	0.4660474779
432	0.4649167294
433	0.4637178851
434	0.4624526149
435	0.4619197092
436	0.4609555693
437	0.4602987401
438	0.4594744592
439	0.4589683221
440	0.4580827763
441	0.4570860028
442	0.4561647906
443	0.4555401069
444	0.4546174021
445	0.4539249161
446	0.4533679378
447	0.4520898154
448	0.4512161741
449	0.4507113274
450	0.4502181977
451	0.4493415007
452	0.448697579
453	0.4477221721
454	0.446814103
455	0.4460192864
456	0.4446782641
457	0.4437011321
458	0.4431284117
459	0.442448016
460	0.4419180318
461	0.4413924078
462	0.4405753218
463	0.4394444544
464	0.4388657511
465	0.43801619
466	0.4370766614
467	0.4361386874
468	0.4353162128
469	0.434371343
470	0.4332210179
471	0.4326034819
472	0.4319515791
473	0.4310250324
474	0.4304773607
475	0.4296742327
476	0.429237448
477	0.4279872735
478	0.4270543818
479	0.42596182
480	0.4250732691
481	0.4241305855
482	0.423183582
483	0.4226764735
484	0.4216775293
485	0.4206486707
486	0.4199613072
487	0.4196004528
488	0.4190482851
489	0.4185064752
490	0.4181907042
491	0.4172800555
492	0.4168545305
493	0.4163421087
494	0.4154303544
495	0.414575541
496	0.4138925235
497	0.4132158421
498	0.4125706013
499	0.4118197964
500	0.4110791177
501	0.4104636556
502	0.4096632716
503	0.4091152587
504	0.4087035749
505	0.4083084948
506	0.4077677089
507	0.4073780574
508	0.4064790522
509	0.4060061908
510	0.4055038696
511	0.4046283654
512	0.404112816
513	0.4032502307
514	0.4029141616
515	0.4024794548
516	0.4018273362
517	0.4010869186
518	0.4006248417
519	0.3998740927
520	0.3992115136
521	0.3981312907
522	0.3976502726
523	0.3967803863
524	0.3958006075
525	0.3953529841
526	0.3945777134
527	0.3940333539
528	0.3933437462
529	0.3928902882
530	0.3917257651
531	0.3909861013
532	0.3901460557
533	0.3895161374
534	0.3890975882
535	0.3887772816
536	0.388291243
537	0.38729575
538	0.3867877556
539	0.3861623654
540	0.3853919715
541	0.3847222577
542	0.3841461009
543	0.3836420574
544	0.3831444481
545	0.3826276358
546	0.3820981742
547	0.381590665
548	0.3811419947
549	0.3805704381
550	0.3800057306
551	0.3794710331
552	0.3789836675
553	0.3782126212
554	0.3778138787
555	0.3771705675
556	0.3768739261
557	0.3761034232
558	0.3753529205
559	0.374727242
560	0.374212668
561	0.3736410187
562	0.3729392886
563	0.3725388042
564	0.371991428
565	0.3715501973
566	0.3707287506
567	0.3700366412
568	0.3692871427
569	0.3688247439
570	0.3682920246
571	0.3677745193
572	0.3673205495
573	0.3662168757
574	0.3658525825
575	0.3653388033
576	0.3648808804
577	0.36399163
578	0.3634810991
579	0.3627355431
580	0.3617665719
581	0.360869779
582	0.3605960005
583	0.3599779964
584	0.3593815572
585	0.3590151682
586	0.3587018369
587	0.3578107709
588	0.3572966872
589	0.3567491299
590	0.3563734857
591	0.355779625
592	0.355543756
593	0.355111664
594	0.3544063655
595	0.3539837837
596	0.3534351794
597	0.3525454904
598	0.3522218791
599	0.3516555959
600	0.3513233139
601	0.3509178481
602	0.3504420948
603	0.3498081409
604	0.3492615424
605	0.3485979204
606	0.347778937
607	0.34733913
608	0.3469673148
609	0.3464682015
610	0.3458667949
611	0.3453976811
612	0.3450703864
613	0.3446319933
614	0.3439044145
615	0.3435211593
616	0.3428006766
617	0.3423832617
618	0.3418445143
619	0.3414071326
620	0.3410740313
621	0.3403461845
622	0.3394515978
623	0.3389932412
624	0.3385880838
625	0.3381277983
626	0.3377737826
627	0.337321665
628	0.3368881321
629	0.3362820682
630	0.3357458902
631	0.335291286
632	0.3349525596
633	0.3343848311
634	0.3339240202
635	0.3332229135
636	0.3327771547
637	0.3322226394
638	0.3320300135
639	0.331568168
640	0.3309689679
641	0.3305367142
642	0.3300451728
643	0.3295589755
644	0.3287387164
645	0.3284173551
646	0.3278388396
647	0.327488223
648	0.3268012472
649	0.3263965711
650	0.3257515635
651	0.325532362
652	0.3252557563
653	0.3250217951
654	0.3245593314
655	0.3236305955
656	0.323268738
657	0.3225337935
658	0.3223133271
659	0.3218081995
660	0.3214994399
661	0.3211484527
662	0.3208314633
663	0.3205638924
664	0.3200461787
665	0.3197781491
666	0.3190466388
667	0.3184113493
668	0.3180225073
669	0.3175807228
670	0.3173834757
671	0.3170350524
672	0.3164774616
673	0.3162760686
674	0.3158785287
675	0.3153793918
676	0.3147867663
677	0.3142194226
678	0.3137844978
679	0.3134223659
680	0.3130185618
681	0.3124856175
682	0.3119168459
683	0.3114086946
684	0.3105953235
685	0.3102253724
686	0.3095790731
687	0.3090222618
688	0.3086834136
689	0.3081386837
690	0.3077845072
691	0.3073394035
692	0.307184307
693	0.3064837583
694	0.306142882
695	0.3056072529
696	0.3052760157
697	0.3050108768
698	0.3043897243
699	0.3039109863
700	0.3035826433
701	0.3030600688
702	0.3026371342
703	0.3022806495
704	0.3019295805
705	0.301193129
706	0.3006527647
707	0.3003611696
708	0.299925166
709	0.299348779
710	0.2990917558
711	0.2986031683
712	0.2979230894
713	0.2975143
714	0.2972180514
715	0.2967425055
716	0.2964309664
717	0.295900026
718	0.2955341134
719	0.2951701923
720	0.2947106561
721	0.2942723256
722	0.2938635831
723	0.2932429561
724	0.2929633018
725	0.2926290068
726	0.2922383464
727	0.2919774596
728	0.2915144389
729	0.2913307753
730	0.2911472955
731	0.290752165
732	0.2905742789
733	0.2902285553
734	0.2898873441
735	0.2892497529
736	0.2890852341
737	0.2885590836
738	0.2881953481
739	0.2878338534
740	0.2871753058
741	0.2866895963
742	0.2863470725
743	0.2859048504
744	0.2853009284
745	0.2849323011
746	0.2845349571
747	0.2843769772
748	0.2841752204
749	0.2836092266
750	0.2832291352
751	0.2831013005
752	0.2828004972
753	0.2824065197
754	0.2822469594
755	0.2820734734
756	0.2815817682
757	0.2812464933
758	0.2809723376
759	0.2806390641
760	0.2802425894
761	0.2800571816
762	0.2796458162
763	0.2793932567
764	0.2790102944
765	0.2784164659
766	0.2780964167
767	0.2778659021
768	0.2776192937
769	0.2770235227
770	0.2767628037
771	0.2766043777
772	0.2760787351
773	0.2758431295
774	0.2754383411
775	0.2750810349
776	0.2745939249
777	0.2741402147
778	0.2736078162
779	0.2733443849
780	0.2729585967
781	0.2727039502
782	0.272119887
783	0.2718207589
784	0.271720829
785	0.2714557695
786	0.2711739639
787	0.2709854097
788	0.2707841885
789	0.270085176
790	0.2698503767
791	0.2695642926
792	0.2691606956
793	0.2686797101
794	0.268500999
795	0.2681306493
796	0.2677494407
797	0.2676032912
798	0.267379848
799	0.2672830787
800	0.2671445146
801	0.2669003081
802	0.2664383806
803	0.2659732059
804	0.2655430566
805	0.2652107726
806	0.2649217735
807	0.2646916332
808	0.2641495765
809	0.2639184565
810	0.263780874
811	0.2633438056
812	0.2629649312
813	0.2627251545
814	0.2620446576
815	0.2617081831
816	0.2616381174
817	0.2612635795
818	0.260970659
819	0.2604966275
820	0.2599821983
821	0.2595512383
822	0.2593604706
823	0.2592319198
824	0.2588841009
825	0.2586369076
826	0.2584467418
827	0.2580974124
828	0.2577907404
829	0.2575758784
830	0.2572047797
831	0.2569809343
832	0.2566473137
833	0.2564561736
834	0.2561719147
835	0.2558015313
836	0.2552728663
837	0.2550145987
838	0.2546114936
839	0.2543492515
840	0.2538417169
841	0.2535464547
842	0.2530870094
843	0.252903875
844	0.2527227272
845	0.2525510327
846	0.2523200913
847	0.2518123219
848	0.2516606481
849	0.2511550876
850	0.2510571014
851	0.2509029343
852	0.2506379322
853	0.2502915002
854	0.2499602879
855	0.2498194769
856	0.2492444666
857	0.2489453991
858	0.2487432347
859	0.2484542224
860	0.2480028523
861	0.2477473868
862	0.2475906915
863	0.2472892991
864	0.2469704986
865	0.2466401914
866	0.2463341111
867	0.2462191963
868	0.2460000076
869	0.2456149575
870	0.2453752191
871	0.2448527728
872	0.2446328938
873	0.2444678196
874	0.244087768
875	0.2438517216
876	0.2434366695
877	0.243185658
878	0.2429906994
879	0.2428188296
880	0.2426807376
881	0.242511931
882	0.2424169356
883	0.2421507573
884	0.241902596
885	0.2417476246
886	0.2415309619
887	0.2409351548
888	0.2405590572
889	0.240365856
890	0.2401971365
891	891	0.2357152892	892	0.2354204893	893	0.2352922894894	0.23497331895895	0.23474615896896	0.23433688897897	0.23398413898898	0.2337801899	899	0.2336311900	900	0.2330807901	901	0.2329078902	902	0.2326821903	903	0.2322075904	904	0.2320996905	905	0.2320444906	906	0.2316598449
907	0.2312468908	908	0.2311694693
909	0.2307980910	910	0.2305655911	911	0.2303734912	0.2350360318
913	0.2348442988
914	0.2344395999
915	0.2340039361
916	0.2336195445
917	0.2332868062
918	0.2330769061
919	0.2328333377
920	0.2326063427
921	0.2322967474
922	0.2319523323
923	0.2316829713
924	0.2316575215
925	0.2312490828
926	0.2311122749
927	0.2309112279
928	0.230737539
929	0.2304825062
930	0.2301891505
931	0.2298758519
932	0.2297799462
933	0.2296280312
934	0.2294701174
935	0.2291546317
936	0.2289728739
937	0.2288144353
938	0.228636853
939	0.2284252551
940	0.2283017524
941	0.2279596011
942	0.2277221955
943	0.2273635023
944	0.2272848326
945	0.227133223
946	0.2266813034
947	0.2262934764
948	0.2259789133
949	0.2258066227
950	0.2256664003
951	0.2255764036
952	0.2253207739
953	0.2249937677
954	0.2247908297
955	0.2246118173
956	0.2243895703
957	0.2242060223
958	0.2240657654
959	0.2238352828
960	0.2235308853
961	0.2234752441
962	0.2233558001
963	0.2231639221
964	0.2230883992
965	0.2227837136
966	0.2226171037
967	0.2223964657
968	0.2222470548
969	0.2220081197
970	0.2218622846
971	0.221642156
