iter	Passed	Remaining
0	176	175915
1	202	10119222	241	8028433	275	6863544	307	612205	353	58563
6	386	54863
7	419	51980
8	456	50318
9	486	48164
10	521	46861
11	563	46408
12	594	45119
13	624	43955
14	663	43560
15	707	43500
16	744	43069
117	782	42663118	841	4345519	893	43776
20	937	43727
21	974	43302
22	1018	43255
23	1068	43464
24	1105	43132
25	1140	42718
26	1176	42401
27	1205	41846
28	1235	41371
29	1267	40997
30	1294	40455
31	1325	40089
32	1362	39928
33	1388	39461
34	1422	39233535	1462	39172
36	1494	38893
37	1528	38702
38	1566	38610
39	1601	38441
40	1633	38215
41	1666	38003
42	1707	37998
43	1735	37708
44	1769	37542
45	1798	37294
46	1831	37143
47	1865	36995
48	1900	36891
49	1935	36783
50	1969	36645
51	1998	36434
52	2030	36278
53	2059	36082
54	2089	35904
55	2118	35718
56	2152	35605
57	2184	35477
58	2222	35443
59	2254	35319
60	2289	35241
61	2323	35151
62	2357	35065
63	2389	34953
64	2424	34876
65	2460	34818
66	2490	34679
67	2521	34560
68	2570	34687
69	2622	34835
70	2667	34906
71	2716	35012
72	2765	35116
73	2809	35159
74	2841	35040
75	2874	34945
76	2903	34807
77	2940	34754
78	2974	34676
79	3010	34617
80	3052	34637
81	3104	34758
82	3169	35015
83	3211	35015
84	3275	35256
85	3321	35298
86	3359	35256
87	3396	35198
88	3437	35189
89	3480	35194
90	3517	35136
91	3555	35092
92	3588	35000
93	3631	34999
94	3676	35018
95	3717	35006
96	3747	34886
97	3791	34897
98	3823	34801
99	3861	34754
100	3896	34684
101	3928	34587
102	3952	34424
103	3994	34415
104	4026	34321
105	4060	34246
106	4098	34201
107	4132	34130
108	4162	34025
109	4198	33972
110	4226	33851
111	4253	33728
112	4288	33665
113	4311	33508
114	4349	33468
115	4398	33521
116	4427	33415
117	4453	33289
118	4488	33231
119	4519	33144
120	4561	33139
121	4597	33084
122	4627	32992
123	4662	32936
124	4692	32845
125	4725	32778
126	4756	32698
127	4781	32575
128	4812	32490
129	4846	32436
130	4884	32402
131	4908	32275
132	4937	32184
133	4966	32098
134	5005	32075
135	5039	32014
136	5067	31922
137	5096	31835
138	5130	31776
139	5164	31724
140	5192	31633
141	5222	31558
142	5252	31476
143	5283	31409
144	5314	31334
145	5337	31222
146	5372	31172
147	5397	31074
148	5427	30996
149	5454	30906
