iter	Passed	Remaining
0	36	36131
1	71	35663
2	105	35074
3	140	35075
4	177	35283
5	212	35254
6	247	35098
7	281	34901
8	330	36422
9	372	36851
10	407	36635
11	442	36400
12	480	36447
13	518	36544
14	553	36376
15	588	36216
16	624	36089
17	659	35959
18	702	36255
19	738	36203
20	771	35954
21	806	35854
22	841	35750
23	875	35608
24	911	35554
25	944	35398
26	982	35390
27	1024	35553
28	1073	35953
29	1126	36414
30	1172	36655
31	1208	36550
32	1241	36373
33	1274	36220
34	1310	36126
35	1344	36012
36	1382	35985
37	1415	35846
38	1452	35800
39	1489	35744
40	1532	35854
41	1571	35850
42	1605	35725
43	1640	35650
44	1673	35523
45	1709	35450
46	1747	35425
47	1781	35337
48	1818	35292
49	1853	35225
50	1888	35147
51	1925	35106
52	1959	35013
53	1993	34930
54	2037	35003
55	2073	34960
56	2108	34886
57	2143	34806
58	2176	34715
59	2210	34631
60	2242	34517
61	2276	34438
62	2317	34474
63	2357	34476
64	2399	34520
65	2434	34456
66	2473	34450
67	2512	34441
68	2548	34384
69	2590	34415
70	2622	34314
71	2661	34302
72	2697	34253
73	2731	34175
74	2767	34128
75	2800	34045
76	2835	33987
77	2867	33899
78	2903	33853
79	2938	33787
80	2977	33784
81	3012	33722
82	3044	33640
83	3077	33554
84	3113	33515
85	3146	33435
86	3180	33372
87	3212	33289
88	3249	33257
89	3285	33222
90	3325	33218
91	3364	33207
92	3401	33173
93	3437	33127
94	3476	33113
95	3511	33068
96	3551	33064
97	3590	33051
98	3627	33018
99	3665	32990
100	3701	32949
101	3737	32906
102	3773	32859
103	3808	32807
104	3844	32770
105	3881	32732
106	3918	32699
107	3955	32668
108	3989	32610
109	4022	32544
110	4055	32477
111	4088	32413
112	4123	32369
113	4166	32380
114	4206	32368
115	4243	32340
116	4281	32311
117	4317	32272
118	4352	32220
119	4387	32173
120	4423	32136
121	4458	32088
122	4492	32033
123	4524	31966
124	4559	31919
125	4592	31859
126	4626	31801
127	4661	31756
128	4693	31693
129	4727	31639
130	4760	31582
131	4793	31523
132	4824	31450
133	4856	31384
134	4892	31347
135	4927	31306
136	4962	31261
137	4995	31206
138	5028	31146
139	5060	31085
140	5093	31028
141	5127	30984
142	5162	30937
143	5205	30942
144	5266	31053
145	5306	31038
146	5343	31006
147	5377	30957
148	5410	30903
149	5445	30859
150	5481	30817
151	5515	30773
152	5550	30726
153	5584	30676
154	5624	30660
155	5665	30650
156	5707	30644
157	5743	30607
158	5778	30562
159	5813	30519
160	5846	30466
161	5879	30411
162	5915	30375
163	5948	30323
164	5981	30271
165	6014	30215
166	6049	30174
167	6083	30127
168	6119	30090
169	6151	30034
170	6184	29984
171	6219	29938
172	6254	29896
173	6288	29852
174	6332	29854
175	6369	29821
176	6404	29776
177	6436	29725
178	6470	29675
179	6506	29638
180	6541	29599
181	6577	29564
182	6612	29522
183	6647	29478
184	6681	29433
185	6721	29414
186	6755	29368
187	6787	29314
188	6819	29262
189	6851	29207
190	6884	29160
191	6920	29122
192	6956	29086
193	6992	29051
194	7026	29006
195	7060	28964
196	7093	28913
197	7126	28865
198	7159	28818
199	7192	28768
200	7224	28718
201	7256	28665
202	7290	28622
203	7330	28602
204	7364	28558
205	7399	28521
206	7432	28472
207	7465	28424
208	7496	28372
209	7547	28393
210	7584	28359
211	7618	28317
212	7652	28276
213	7690	28246
214	7722	28196
215	7757	28158
216	7798	28140
217	7835	28107
218	7867	28058
219	7904	28026
220	7945	28006
221	7989	27998
222	8026	27966
223	8066	27945
224	8099	27897
225	8134	27859
226	8166	27809
227	8198	27760
228	8230	27711
229	8265	27673
230	8301	27635
231	8337	27599
232	8369	27549
233	8401	27502
234	8437	27465
235	8468	27416
236	8501	27369
237	8537	27333
238	8571	27290
239	8606	27252
240	8646	27232
241	8681	27192
242	8719	27161
243	8753	27122
244	8795	27104
245	8828	27059
246	8860	27012
247	8893	26967
248	8925	26921
249	8960	26882
250	8996	26845
251	9034	26817
252	9072	26788
253	9106	26745
254	9141	26706
255	9179	26677
256	9217	26647
257	9255	26618
258	9289	26576
259	9323	26537
260	9358	26497
261	9397	26469
262	9432	26433
263	9464	26387
264	9497	26343
265	9530	26299
266	9565	26259
267	9597	26213
268	9629	26168
269	9661	26122
270	9694	26079
271	9737	26063
272	9771	26020
273	9805	25982
274	9849	25965
275	9888	25940
276	9926	25909
277	9959	25867
278	9996	25832
279	10036	25806
280	10067	25761
281	10100	25715
282	10135	25679
283	10171	25643
284	10214	25626
285	10247	25582
286	10281	25542
287	10318	25508
288	10353	25471
289	10386	25429
290	10420	25387
291	10453	25345
292	10488	25307
293	10532	25292
294	10566	25251
295	10598	25207
296	10634	25171
297	10671	25139
298	10703	25095
299	10737	25053
300	10781	25036
301	10817	25001
302	10850	24958
303	10885	24922
304	10923	24891
305	10957	24850
306	10989	24806
307	11021	24762
308	11054	24719
309	11087	24677
310	11122	24640
311	11163	24616
312	11197	24576
313	11231	24537
314	11265	24497
315	11298	24456
